name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	minac	maxac	block	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	
Divine Scepter	scep		9ws	whm	9ws	0		4	1	16	38								1	-10	0	0	0	220	80	103		70		45	25	3992	1056315		303	whm	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	6	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Barbed Club	club		9sp	clb	9sp	0		3	1	13	25								1		0	0	0	200	100	30		70		32	20	692	149100			clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Flanged Mace	mace		9ma	mac	9ma	0		4	1	15	23										0	0	0	220	80	61		70		35	23	1108	237345			mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Jagged Star	mace		9mt	mac	9mt	0		4	1	20	31								1	10	0	0	0	200	100	74		70		39	25	1736	397344			mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Knout	mace		9fl	fla	9fl	0		4	1	13	35								2	-10	0	0	0	180	120	82	73	70		43	25	2628	657144			fla	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Battle Hammer	hamm		9wh	whm	9wh	0		4	1	35	58									20	0	0	0	240	60	100		70		48	25	3636	1021692			whm	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
War Club	hamm		9m9	mau	9m9	0		4	1				1	53	78				1	10	0	0	0	260	40	124		70		45	25	3020	791850			mau	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Martel de Fer	hamm		9gm	mau	9gm	0		3	1				1	61	99				2	20	0	0	0	275	25	169		70		53	25	5278	1668255			mau	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	inv9gmu	inv9gmu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Gladius	swor		9ss	ssd	9ss	0		3	1	8	22										0	0	0	200	100	25		70		30	18	404	98940			ssd	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Cutlass	swor		9sm	scm	9sm	0		3	1	8	21									-30	0	0	0	180	120	25	52	70		43	25	780	216738			scm	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Shamshir	swor		9sb	scm	9sb	0		3	1	10	24									-10	0	0	0	190	110	58	58	70		35	23	1112	238290			scm	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	invsbru	invsbru	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Tulwar	swor		9fc	flc	9fc	0		4	1	16	35									20	0	0	0	220	80	70	42	70		37	25	1476	323739			flc	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Dimensional Blade	swor		9cr	crs	9cr	0		2	1	13	35								1		0	0	0	200	100	85	60	70	1	37	25	3704	804591			crs	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	inv9cru	inv9cru	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	8	0	xxx	xxx	1	0	300
Battle Sword	swor		9bs	bsd	9bs	0		4	1	16	34										0	0	0	220	80	92	43	70		40	25	2032	473940			bsd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Rune Sword	swor		9ls	lsd	9ls	0		4	1	10	42								1	-10	0	0	0	200	100	103	79	70		44	25	2794	715020			lsd	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	inv9lsu	inv9lsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Ancient Sword	swor		9wd	flc	9wd	0		4	1	18	43								1		0	0	0	210	90	127	88	70		49	25	3510	1005777			flc	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Espadon	swor		92h	clm	92h	0		4	1	1	40	1	1	18	40				2		0	0	0	210	90	73	61	70		37	25	1410	310752			clm	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Dacian Falx	swor		9cm	clm	9cm	0		4	1	1	61	1	1	26	61				2	10	0	0	0	240	60	91	20	70		42	25	2396	585336			clm	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Tusk Sword	swor		9gs	gsd	9gs	0		4	1	1	58	1	1	19	58				2		0	0	0	210	90	104	71	70		45	25	2700	706395			gsd	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Gothic Sword	swor		9b9	clm	9b9	0		4	1	1	60	1	1	39	60				1	10	0	0	0	240	60	113	20	70		48	25	3472	974172			clm	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Zweihander	swor		9fb	clm	9fb	0		4	1	1	54	1	1	29	54				2	-10	0	0	0	190	110	125	94	70		49	25	4104	1183500			clm	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb	inv9fbu	inv9fbu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Executioner Sword	swor		9gd	gsd	9gd	0		4	1	1	80	1	1	47	80				2	10	0	0	0	200	100	170	110	70		54	25	5612	1814286			gsd	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Poignard	knif		9dg	dgr	9dg	0		2	1	6	18									-20	0	0	0	110	190	25		70		31	19	380	98640		305	dgr	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Rondel	knif		9di	dir	9di	0		2	1	10	26										0	0	0	110	190	25	58	70		36	24	1224	266268		305	dir	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Cinquedeas	knif		9kr	dir	9kr	0		2	1	15	31									-20	0	0	0	110	190	25	88	70		42	25	2342	572106		305	dir	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Stilleto	knif		9bl	dgr	9bl	0		3	1	19	36									-10	0	0	0	110	190	47	97	70		46	25	3162	848196		305	dgr	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld	inv9blu	inv9blu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Battle Dart	tkni		9tk	dgr	9tk	0		2	1	8	16					11	24	15			0	0	0	80	180	25	52	70		31	19	10	61440		314	dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	120	400	150	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	260
Francisca	taxe		9ta	hax	9ta	0		2	1	11	22					18	33	15		10	0	0	0	80	180	25	80	70		34	22	12	67680		314	hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	48	325	64	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	2	0	xxx	xxx	1	0	260
War Dart	tkni		9bk	dgr	9bk	0		2	1	6	24					14	27	15		-20	0	0	0	80	180	25	97	70		39	25	12	77700		314	dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	90	400	120	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	260
Hurlbat	taxe		9b8	hax	9b8	0		2	1	13	27					24	34	15		-10	0	0	0	80	180	25	106	70		41	25	14	82530		314	hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	48	325	48	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	260
War Javelin	jave		9ja	jav	9ja	0		4	1	6	19					14	32	15	2	-10	0	0	0	130	150	25	25	70		30	18	12	63300		314	jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	90	150	120	flpjav	invjav			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	280
Great Pilum	jave		9pi	pil	9pi	0		4	1	11	26					16	42	15	2		0	0	0	130	150	25	88	70		37	25	12	76875		314	pil	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	75	125	100	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	280
Simbilan	jave		9s9	jav	9s9	0		4	1	8	32					27	50	15	2	10	0	0	0	130	150	80	80	70		40	25	12	83700		314	jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	60	100	80	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	280
Spiculum	jave		9gl	glv	9gl	0		4	1	13	38					32	60	15	2	20	0	0	0	130	150	98	73	70		46	25	14	96510		314	glv	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	24	50	40	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	280
Harpoon	jave		9ts	pil	9ts	0		4	1	13	35					18	54	15	2	-10	0	0	0	130	150	25	118	70		51	25	14	106950		314	pil	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	96	200	160	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	280
War Spear	spea		9sr	spr	9sr	0		4	1				1	10	37				3	-10	0	0	0	170	130	25	25	70		33	21	826	175800			spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Fuscina	spea		9tr	tri	9tr	0		4	1				1	19	37				3		0	0	0	190	110	77	25	70		36	24	1476	315192			tri	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	6	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
War Fork	spea		9br	brn	9br	0		4	1				1	16	40				4	-20	0	0	0	160	140	80	95	70		41	25	2242	534678			brn	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn	inv9bru	inv9bru	1	6	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Yari	spea		9st	tri	9st	0		4	1				1	29	59				4		0	0	0	190	110	101		70		44	25	3024	775212			tri	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	6	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Lance	spea		9p9	pik	9p9	0		4	1				1	27	114				4	20	0	0	0	175	125	110	88	70		47	25	3550	976029			pik	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	6	0	3 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Lochaber Axe	pole		9b7	hal	9b7	0		4	1				1	6	58				2	10	0	0	0	220	80	80		70		33	21	828	176394			hal	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Bill	pole		9vo	hal	9vo	0		4	1				1	14	53				2		0	0	0	220	80	95		70		37	25	1356	299763			pax	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Battle Scythe	pole		9s8	scy	9s8	0		4	1				1	18	45				1	-10	0	0	0	175	125	82	82	70		40	25	1744	408780			scy	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	inv9s8u	inv9s8u	1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Partizan	pole		9pa	hal	9pa	0		4	1				1	34	75				3	10	0	0	0	220	80	113	67	70		35	23	3068	627315			pax	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Bec-de-Corbin	pole		9h9	pax	9h9	0		4	1				1	13	85				4		0	0	0	200	100	133	91	70		51	25	4548	1371954			hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Grim Scythe	pole		9wc	scy	9wc	0		3	1				1	30	70				4	-10	0	0	0	175	125	140	140	70		55	25	5524	1816560			scy	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Jo Staff	staf		8ss	bst	8ss	0		2	1				1	6	21				1	-10	0	0	0	225	75	25		70		30	18	586	124860	1	403	bst	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Quarterstaff	staf		8ls	sst	8ls	0		2	1				1	8	26				1		0	0	0	225	75	25		70		35	23	1108	237345	1	403	sst	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Cedar Staff	staf		8cs	cst	8cs	0		2	1				1	11	32				1	10	0	0	0	225	75	25		70		38	25	1610	360672	1	403	cst	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Gothic Staff	staf		8bs	sst	8bs	0		2	1				1	14	34				1		0	0	0	225	75	25		70		42	25	2336	570594	1	403	sst	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Rune Staff	staf		8ws	lst	8ws	0		2	1				1	24	58				1	20	0	0	0	225	75	25		70		47	25	3492	959955	1	403	lst	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst	inv8wsu	inv8wsu	1	6	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Edge Bow	bow		8sb	sbw	8sb	0		2	1				1	6	19			13		5	0	0	0	0	150	25	43	70	1	30	18	458	106500		306	sbw	sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	150
Razor Bow	bow		8hb	sbw	8hb	0		2	1				1	8	22			13		-10	0	0	0	0	150	25	62	70	1	33	21	914	190650		306	sbw	hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	150
Cedar Bow	bow		8lb	lbw	8lb	0		2	1				1	10	29			13			0	0	0	0	150	53	49	70	1	35	23	1154	245850		306	lbw	lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw	inv8lbu	inv8lbu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	150
Double Bow	bow		8cb	lbw	8cb	0		2	1				1	11	26			13		-10	0	0	0	0	150	58	73	70	1	39	25	1548	356277		306	lbw	cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	150
Short Siege Bow	bow		8s8	sbb	8s8	0		2	1				1	13	30			13			0	0	0	0	150	65	80	70	1	43	25	2058	515115		306	sbb	sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	inv8s8u	inv8s8u	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	150
Long Siege Bow	bow		8l8	lbb	8l8	0		2	1				1	10	42			13		10	0	0	0	0	150	80	95	70	1	46	25	2832	757530		306	lbb	lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	150
Rune Bow	bow		8sw	sbb	8sw	0		2	1				1	14	35			13			0	0	0	0	150	73	103	70	1	49	25	4250	1227600		306	sbb	swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	150
Gothic Bow	bow		8lw	lbb	8lw	0		2	1				1	10	50			13		10	0	0	0	0	150	95	118	70	1	52	25	5788	1805400		306	lbb	lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	150
Arbalest	xbow		8lx	lxb	8lx	0		2	1				1	14	27					-10	0	0	0	0	150	52	61	70	1	34	22	1672	334818		306	lxb	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	inv8lxu	inv8lxu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	400
