description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	0			100					4	hgl,mag,upg	jew	r08	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	res-cold			20	20	ac%			60	60																																																																0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	0			100					4	lbl,mag,upg	jew	r07	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	res-pois			20	20	ac%			60	60																																																																0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	0			100					4	kit,mag,upg	jew	r04	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	res-mag			20	20	ac%			60	60																																																																0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	0			100					4	brs,mag,upg	jew	r05	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	half-freeze			1	1	ac%			60	60																																																																0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	0			100					4	amul,mag	jew	r10	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	block			20	20																																																																					0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	0			100					4	ring,mag	jew	r11	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	vit			10	10																																																																					0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	0			100					4	spea,mag	jew	r12	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	ac%			20	20																																																																					0
time	1			100					4	wms	rand,qty=3						time																																																																																							0
timeless glov	1			100					3	glov,uni	time,qty=1	jew					usetype,crf																																																																																							0
timeless boot	1			100					3	boot,uni	time,qty=1	jew					usetype,crf																																																																																							0
timeless glov	1			100					3	glov,set	time,qty=1	jew					usetype,crf																																																																																							0
timeless boot	1			100					3	boot,set	time,qty=1	jew					usetype,crf																																																																																							0
Magic Arrow	1			100					7	any,crf	key,qty=1	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		6	1	1	skill		6	1	1																																																																					0
Fire Arrow	1			100					8	any,crf	key,qty=2	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		7	1	1	skill		7	1	1																																																																					0
Inner Sight	1			100					9	any,crf	key,qty=3	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		8	1	1	skill		8	1	1																																																																					0
Critical Strike	1			100					10	any,crf	key,qty=4	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		9	1	1	skill		9	1	1																																																																					0
Jab	1			100					11	any,crf	key,qty=5	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		10	1	1	skill		10	1	1																																																																					0
Cold Arrow	1			100					12	any,crf	key,qty=6	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		11	1	1	skill		11	1	1																																																																					0
Multiple Shot	1			100					13	any,crf	key,qty=7	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		12	1	1	skill		12	1	1																																																																					0
Dodge	1			100					14	any,crf	key,qty=8	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		13	1	1	skill		13	1	1																																																																					0
Power Strike	1			100					15	any,crf	key,qty=9	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		14	1	1	skill		14	1	1																																																																					0
Poison Javelin	1			100					16	any,crf	key,qty=10	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		15	1	1	skill		15	1	1																																																																					0
Exploding Arrow	1			100					17	any,crf	key,qty=11	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		16	1	1	skill		16	1	1																																																																					0
Slow Missiles	1			100					18	any,crf	key,qty=12	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		17	1	1	skill		17	1	1																																																																					0
Avoid	1			100					19	any,crf	key,qty=13	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		18	1	1	skill		18	1	1																																																																					0
Impale	1			100					20	any,crf	key,qty=14	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		19	1	1	skill		19	1	1																																																																					0
Lightning Bolt	1			100					21	any,crf	key,qty=15	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		20	1	1	skill		20	1	1																																																																					0
Ice Arrow	1			100					22	any,crf	key,qty=16	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		21	1	1	skill		21	1	1																																																																					0
Guided Arrow	1			100					23	any,crf	key,qty=17	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		22	1	1	skill		22	1	1																																																																					0
Penetrate	1			100					24	any,crf	key,qty=18	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		23	1	1	skill		23	1	1																																																																					0
Charged Strike	1			100					25	any,crf	key,qty=19	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		24	1	1	skill		24	1	1																																																																					0
Plague Javelin	1			100					26	any,crf	key,qty=20	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		25	1	1	skill		25	1	1																																																																					0
Strafe	1			100					27	any,crf	key,qty=21	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		26	1	1	skill		26	1	1																																																																					0
Immolation Arrow	1			100					28	any,crf	key,qty=22	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		27	1	1	skill		27	1	1																																																																					0
Dopplezon	1			100					29	any,crf	key,qty=23	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		28	1	1	skill		28	1	1																																																																					0
Evade	1			100					30	any,crf	key,qty=24	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		29	1	1	skill		29	1	1																																																																					0
Fend	1			100					31	any,crf	key,qty=25	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		30	1	1	skill		30	1	1																																																																					0
Freezing Arrow	1			100					32	any,crf	key,qty=26	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		31	1	1	skill		31	1	1																																																																					0
Valkyrie	1			100					33	any,crf	key,qty=27	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		32	1	1	skill		32	1	1																																																																					0
Pierce	1			100					34	any,crf	key,qty=28	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		33	1	1	skill		33	1	1																																																																					0
Lightning Strike	1			100					35	any,crf	key,qty=29	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		34	1	1	skill		34	1	1																																																																					0
Lightning Fury	1			100					36	any,crf	key,qty=30	jew,qty=3	gpy	time			useitem				levelreq			6	6	oskill		35	1	1	skill		35	1	1																																																																					0
Fire Bolt	1			100					7	any,crf	key,qty=1	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		36	1	1	skill		36	1	1																																																																					0
Warmth	1			100					8	any,crf	key,qty=2	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		37	1	1	skill		37	1	1																																																																					0
Charged Bolt	1			100					9	any,crf	key,qty=3	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		38	1	1	skill		38	1	1																																																																					0
Ice Bolt	1			100					10	any,crf	key,qty=4	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		39	1	1	skill		39	1	1																																																																					0
Frozen Armor	1			100					11	any,crf	key,qty=5	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		40	1	1	skill		40	1	1																																																																					0
Inferno	1			100					12	any,crf	key,qty=6	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		41	1	1	skill		41	1	1																																																																					0
Static Field	1			100					13	any,crf	key,qty=7	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		42	1	1	skill		42	1	1																																																																					0
Telekinesis	1			100					14	any,crf	key,qty=8	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		43	1	1	skill		43	1	1																																																																					0
Frost Nova	1			100					15	any,crf	key,qty=9	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		44	1	1	skill		44	1	1																																																																					0
Ice Blast	1			100					16	any,crf	key,qty=10	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		45	1	1	skill		45	1	1																																																																					0
Blaze	1			100					17	any,crf	key,qty=11	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		46	1	1	skill		46	1	1																																																																					0
Fire Ball	1			100					18	any,crf	key,qty=12	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		47	1	1	skill		47	1	1																																																																					0
Nova	1			100					19	any,crf	key,qty=13	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		48	1	1	skill		48	1	1																																																																					0
Lightning	1			100					20	any,crf	key,qty=14	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		49	1	1	skill		49	1	1																																																																					0
Shiver Armor	1			100					21	any,crf	key,qty=15	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		50	1	1	skill		50	1	1																																																																					0
Fire Wall	1			100					22	any,crf	key,qty=16	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		51	1	1	skill		51	1	1																																																																					0
Enchant	1			100					23	any,crf	key,qty=17	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		52	1	1	skill		52	1	1																																																																					0
Chain Lightning	1			100					24	any,crf	key,qty=18	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		53	1	1	skill		53	1	1																																																																					0
Teleport	1			100					25	any,crf	key,qty=19	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		54	1	1	skill		54	1	1																																																																					0
Glacial Spike	1			100					26	any,crf	key,qty=20	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		55	1	1	skill		55	1	1																																																																					0
Meteor	1			100					27	any,crf	key,qty=21	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		56	1	1	skill		56	1	1																																																																					0
Thunder Storm	1			100					28	any,crf	key,qty=22	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		57	1	1	skill		57	1	1																																																																					0
Energy Shield	1			100					29	any,crf	key,qty=23	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		58	1	1	skill		58	1	1																																																																					0
Blizzard	1			100					30	any,crf	key,qty=24	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		59	1	1	skill		59	1	1																																																																					0
Chilling Armor	1			100					31	any,crf	key,qty=25	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		60	1	1	skill		60	1	1																																																																					0
Fire Mastery	1			100					32	any,crf	key,qty=26	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		61	1	1	skill		61	1	1																																																																					0
Hydra	1			100					33	any,crf	key,qty=27	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		62	1	1	skill		62	1	1																																																																					0
Lightning Mastery	1			100					34	any,crf	key,qty=28	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		63	1	1	skill		63	1	1																																																																					0
Frozen Orb	1			100					35	any,crf	key,qty=29	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		64	1	1	skill		64	1	1																																																																					0
Cold Mastery	1			100					36	any,crf	key,qty=30	jew,qty=3	gpb	time			useitem				levelreq			6	6	oskill		65	1	1	skill		65	1	1																																																																					0
Amplify Damage	1			100					7	any,crf	key,qty=1	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		66	1	1	skill		66	1	1																																																																					0
Teeth	1			100					8	any,crf	key,qty=2	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		67	1	1	skill		67	1	1																																																																					0
Bone Armor	1			100					9	any,crf	key,qty=3	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		68	1	1	skill		68	1	1																																																																					0
Skeleton Mastery	1			100					10	any,crf	key,qty=4	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		69	1	1	skill		69	1	1																																																																					0
Raise Skeleton	1			100					11	any,crf	key,qty=5	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		70	1	1	skill		70	1	1																																																																					0
Dim Vision	1			100					12	any,crf	key,qty=6	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		71	1	1	skill		71	1	1																																																																					0
Weaken	1			100					13	any,crf	key,qty=7	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		72	1	1	skill		72	1	1																																																																					0
Poison Dagger	1			100					14	any,crf	key,qty=8	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		73	1	1	skill		73	1	1																																																																					0
Corpse Explosion	1			100					15	any,crf	key,qty=9	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		74	1	1	skill		74	1	1																																																																					0
Clay Golem	1			100					16	any,crf	key,qty=10	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		75	1	1	skill		75	1	1																																																																					0
Iron Maiden	1			100					17	any,crf	key,qty=11	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		76	1	1	skill		76	1	1																																																																					0
Terror	1			100					18	any,crf	key,qty=12	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		77	1	1	skill		77	1	1																																																																					0
Bone Wall	1			100					19	any,crf	key,qty=13	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		78	1	1	skill		78	1	1																																																																					0
Golem Mastery	1			100					20	any,crf	key,qty=14	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		79	1	1	skill		79	1	1																																																																					0
Raise Skeletal Mage	1			100					21	any,crf	key,qty=15	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		80	1	1	skill		80	1	1																																																																					0
Confuse	1			100					22	any,crf	key,qty=16	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		81	1	1	skill		81	1	1																																																																					0
Life Tap	1			100					23	any,crf	key,qty=17	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		82	1	1	skill		82	1	1																																																																					0
Poison Explosion	1			100					24	any,crf	key,qty=18	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		83	1	1	skill		83	1	1																																																																					0
Bone Spear	1			100					25	any,crf	key,qty=19	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		84	1	1	skill		84	1	1																																																																					0
BloodGolem	1			100					26	any,crf	key,qty=20	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		85	1	1	skill		85	1	1																																																																					0
Attract	1			100					27	any,crf	key,qty=21	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		86	1	1	skill		86	1	1																																																																					0
Decrepify	1			100					28	any,crf	key,qty=22	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		87	1	1	skill		87	1	1																																																																					0
Bone Prison	1			100					29	any,crf	key,qty=23	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		88	1	1	skill		88	1	1																																																																					0
Summon Resist	1			100					30	any,crf	key,qty=24	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		89	1	1	skill		89	1	1																																																																					0
IronGolem	1			100					31	any,crf	key,qty=25	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		90	1	1	skill		90	1	1																																																																					0
Lower Resist	1			100					32	any,crf	key,qty=26	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		91	1	1	skill		91	1	1																																																																					0
Poison Nova	1			100					33	any,crf	key,qty=27	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		92	1	1	skill		92	1	1																																																																					0
Bone Spirit	1			100					34	any,crf	key,qty=28	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		93	1	1	skill		93	1	1																																																																					0
FireGolem	1			100					35	any,crf	key,qty=29	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		94	1	1	skill		94	1	1																																																																					0
Revive	1			100					36	any,crf	key,qty=30	jew,qty=3	skz	time			useitem				levelreq			6	6	oskill		95	1	1	skill		95	1	1																																																																					0
Sacrifice	1			100					7	any,crf	key,qty=1	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		96	1	1	skill		96	1	1																																																																					0
Smite	1			100					8	any,crf	key,qty=2	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		97	1	1	skill		97	1	1																																																																					0
Might	1			100					9	any,crf	key,qty=3	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		98	1	1	skill		98	1	1																																																																					0
Prayer	1			100					10	any,crf	key,qty=4	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		99	1	1	skill		99	1	1																																																																					0
Resist Fire	1			100					11	any,crf	key,qty=5	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		100	1	1	skill		100	1	1																																																																					0
Holy Bolt	1			100					12	any,crf	key,qty=6	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		101	1	1	skill		101	1	1																																																																					0
Holy Fire	1			100					13	any,crf	key,qty=7	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		102	1	1	skill		102	1	1																																																																					0
Thorns	1			100					14	any,crf	key,qty=8	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		103	1	1	skill		103	1	1																																																																					0
Defiance	1			100					15	any,crf	key,qty=9	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		104	1	1	skill		104	1	1																																																																					0
Resist Cold	1			100					16	any,crf	key,qty=10	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		105	1	1	skill		105	1	1																																																																					0
Zeal	1			100					17	any,crf	key,qty=11	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		106	1	1	skill		106	1	1																																																																					0
Charge	1			100					18	any,crf	key,qty=12	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		107	1	1	skill		107	1	1																																																																					0
Blessed Aim	1			100					19	any,crf	key,qty=13	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		108	1	1	skill		108	1	1																																																																					0
Cleansing	1			100					20	any,crf	key,qty=14	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		109	1	1	skill		109	1	1																																																																					0
Resist Lightning	1			100					21	any,crf	key,qty=15	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		110	1	1	skill		110	1	1																																																																					0
Vengeance	1			100					22	any,crf	key,qty=16	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		111	1	1	skill		111	1	1																																																																					0
Blessed Hammer	1			100					23	any,crf	key,qty=17	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		112	1	1	skill		112	1	1																																																																					0
Concentration	1			100					24	any,crf	key,qty=18	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		113	1	1	skill		113	1	1																																																																					0
Holy Freeze	1			100					25	any,crf	key,qty=19	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		114	1	1	skill		114	1	1																																																																					0
Vigor	1			100					26	any,crf	key,qty=20	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		115	1	1	skill		115	1	1																																																																					0
Conversion	1			100					27	any,crf	key,qty=21	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		116	1	1	skill		116	1	1																																																																					0
Holy Shield	1			100					28	any,crf	key,qty=22	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		117	1	1	skill		117	1	1																																																																					0
Holy Shock	1			100					29	any,crf	key,qty=23	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		118	1	1	skill		118	1	1																																																																					0
Sanctuary	1			100					30	any,crf	key,qty=24	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		119	1	1	skill		119	1	1																																																																					0
Meditation	1			100					31	any,crf	key,qty=25	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		120	1	1	skill		120	1	1																																																																					0
Fist of the Heavens	1			100					32	any,crf	key,qty=26	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		121	1	1	skill		121	1	1																																																																					0
Fanaticism	1			100					33	any,crf	key,qty=27	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		122	1	1	skill		122	1	1																																																																					0
Conviction	1			100					34	any,crf	key,qty=28	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		123	1	1	skill		123	1	1																																																																					0
Redemption	1			100					35	any,crf	key,qty=29	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		124	1	1	skill		124	1	1																																																																					0
Salvation	1			100					36	any,crf	key,qty=30	jew,qty=3	gpw	time			useitem				levelreq			6	6	oskill		125	1	1	skill		125	1	1																																																																					0
Bash	1			100					7	any,crf	key,qty=1	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		126	1	1	skill		126	1	1																																																																					0
Sword Mastery	1			100					8	any,crf	key,qty=2	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		127	1	1	skill		127	1	1																																																																					0
Axe Mastery	1			100					9	any,crf	key,qty=3	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		128	1	1	skill		128	1	1																																																																					0
Mace Mastery	1			100					10	any,crf	key,qty=4	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		129	1	1	skill		129	1	1																																																																					0
Howl	1			100					11	any,crf	key,qty=5	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		130	1	1	skill		130	1	1																																																																					0
Find Potion	1			100					12	any,crf	key,qty=6	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		131	1	1	skill		131	1	1																																																																					0
Leap	1			100					13	any,crf	key,qty=7	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		132	1	1	skill		132	1	1																																																																					0
Double Swing	1			100					14	any,crf	key,qty=8	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		133	1	1	skill		133	1	1																																																																					0
Pole Arm Mastery	1			100					15	any,crf	key,qty=9	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		134	1	1	skill		134	1	1																																																																					0
Throwing Mastery	1			100					16	any,crf	key,qty=10	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		135	1	1	skill		135	1	1																																																																					0
Spear Mastery	1			100					17	any,crf	key,qty=11	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		136	1	1	skill		136	1	1																																																																					0
Taunt	1			100					18	any,crf	key,qty=12	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		137	1	1	skill		137	1	1																																																																					0
Shout	1			100					19	any,crf	key,qty=13	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		138	1	1	skill		138	1	1																																																																					0
Stun	1			100					20	any,crf	key,qty=14	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		139	1	1	skill		139	1	1																																																																					0
Double Throw	1			100					21	any,crf	key,qty=15	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		140	1	1	skill		140	1	1																																																																					0
Increased Stamina	1			100					22	any,crf	key,qty=16	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		141	1	1	skill		141	1	1																																																																					0
Find Item	1			100					23	any,crf	key,qty=17	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		142	1	1	skill		142	1	1																																																																					0
Leap Attack	1			100					24	any,crf	key,qty=18	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		143	1	1	skill		143	1	1																																																																					0
Concentrate	1			100					25	any,crf	key,qty=19	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		144	1	1	skill		144	1	1																																																																					0
Iron Skin	1			100					26	any,crf	key,qty=20	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		145	1	1	skill		145	1	1																																																																					0
Battle Cry	1			100					27	any,crf	key,qty=21	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		146	1	1	skill		146	1	1																																																																					0
Frenzy	1			100					28	any,crf	key,qty=22	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		147	1	1	skill		147	1	1																																																																					0
Increased Speed	1			100					29	any,crf	key,qty=23	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		148	1	1	skill		148	1	1																																																																					0
Battle Orders	1			100					30	any,crf	key,qty=24	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		149	1	1	skill		149	1	1																																																																					0
Grim Ward	1			100					31	any,crf	key,qty=25	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		150	1	1	skill		150	1	1																																																																					0
Whirlwind	1			100					32	any,crf	key,qty=26	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		151	1	1	skill		151	1	1																																																																					0
Berserk	1			100					33	any,crf	key,qty=27	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		152	1	1	skill		152	1	1																																																																					0
Natural Resistance	1			100					34	any,crf	key,qty=28	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		153	1	1	skill		153	1	1																																																																					0
War Cry	1			100					35	any,crf	key,qty=29	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		154	1	1	skill		154	1	1																																																																					0
Battle Command	1			100					36	any,crf	key,qty=30	jew,qty=3	gpr	time			useitem				levelreq			6	6	oskill		155	1	1	skill		155	1	1																																																																					0
Raven	1			100					7	any,crf	key,qty=1	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		221	1	1	skill		221	1	1																																																																					0
Plague Poppy	1			100					8	any,crf	key,qty=2	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		222	1	1	skill		222	1	1																																																																					0
Wearwolf	1			100					9	any,crf	key,qty=3	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		223	1	1	skill		223	1	1																																																																					0
Shape Shifting	1			100					10	any,crf	key,qty=4	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		224	1	1	skill		224	1	1																																																																					0
Firestorm	1			100					11	any,crf	key,qty=5	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		225	1	1	skill		225	1	1																																																																					0
Oak Sage	1			100					12	any,crf	key,qty=6	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		226	1	1	skill		226	1	1																																																																					0
Summon Spirit Wolf	1			100					13	any,crf	key,qty=7	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		227	1	1	skill		227	1	1																																																																					0
Wearbear	1			100					14	any,crf	key,qty=8	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		228	1	1	skill		228	1	1																																																																					0
Molten Boulder	1			100					15	any,crf	key,qty=9	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		229	1	1	skill		229	1	1																																																																					0
Arctic Blast	1			100					16	any,crf	key,qty=10	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		230	1	1	skill		230	1	1																																																																					0
Cycle of Life	1			100					17	any,crf	key,qty=11	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		231	1	1	skill		231	1	1																																																																					0
Feral Rage	1			100					18	any,crf	key,qty=12	jew,qty=3	gpg	time			useitem				levelreq			6	6	oskill		232	1	1	skill		232	1	1																																																																					0
