index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
The Gladiator's Bane	100	1		1	1	70	85	utu	Wire Fleece			3	5000	lgry	lgry						ac%		100	200	red-mag		15	20	red-dmg		15	20	ac		50	50	res-pois-len		50	50	nofreeze		1	1	balance2		15	35																					0
Arkaine's Valor	100	1		1	1	70	85	upl	Balrog Skin			3	5000	lred	lred						ac%		100	180	balance2		20	35	allskills		1	2	red-dmg		10	15	hp		100	200	rep-dur	1			ease		-25	-75	red-dmg%		1	10																	0
Blackoak Shield	100	1		1	1	67	61	uml	Luna			3	5000				invsmlu				dex/lvl	4			ac%		100	200	abs-cold/lvl	5			gethit-skill	72	5	5	half-freeze		1	1	hp/lvl	10			block2		50	50																					0
Stormshield0	100	0		1	1	70	73	uit	Monarch			3	5000				invkitu				ac/lvl	30			red-dmg%		35	35	str		30	30	indestruct		1	1	block2		35	35	res-ltng		25	25	block		25	25	res-cold		60	60																	0
Hellslayer	100	1		1	1	70	66	7bt	Decapitator			5	5000	dred	dred		invbtxu				str/lvl	4			hp/lvl	12			dmg%/lvl	24			dmg-fire		150	250	hp		20	35	dmg%		100	100	att-skill	47	10	10	*mana		-25	-25	splash	proc_SplashDamage	100	1													0
Messerschmidt's Reaver	100	1		1	1	70	70	7ga	Champion Axe			5	5000	blac	blac		invgaxu				dmg%/lvl	20			dmg%		100	200	str		15	15	dex		15	15	vit		10	20	enr		10	20	dmg-fire		20	240	att%		100	100	splash	proc_SplashDamage	100	1													0
Baranar's Star	100	1		1	1	70	65	7mt	Devil Star			5	5000	lred	lred		invmstu				att%		100	200	dmg%		100	200	dex		15	15	str		15	15	swing2		20	70	dmg-cold		1	200	dmg-ltng		1	200	dmg-fire		1	200	splash	proc_SplashDamage	100	1													0
Schaefer's Hammer0	100	0		1	1	70	70	7wh	Legendary Mallet			5	5000	lblu	lblu						hit-skill	42	20	10	hp		50	50	att/lvl	16			res-ltng		75	75	swing2		10	25	dmg/lvl	16			indestruct		1	1	dmg%		100	130	light		1	1	dmg-ltng		50	200	splash	proc_SplashDamage	100	1					0
The Cranium Basher0	100	0		1	1	70	70	7gm	Thunder Maul			5	5000	blac	blac						swing2		10	25	indestruct		1	1	str		25	25	res-all		25	25	crush		15	15	dmg-norm		20	20	dmg%		100	250	hit-skill	66	5	1	*mana		-30	-30	splash	proc_SplashDamage	100	1									0
Lightsabre	100	1		1	1	66	58	7cr	Phase Blade			5	5000	lblu			invcrsu				light		7	7	att-skill	53	5	20	ignore-ac	1	1	1	abs-ltng%		25	25	swing2		10	25	dmg-mag		60	120	dmg-ltng		1	200	manasteal		5	7	dmg%		100	230	dmg-norm		10	30	splash	proc_SplashDamage	100	1					0
Doombringer0	100	0		1	1	70	69	7b7	Champion Sword			5	5000	dred	dred		invbswu				hp%		15	30	dmg%		100	250	att%		40	40	indestruct		1	1	dmg-norm		30	100	hit-skill	72	8	3	lifesteal		5	7	splash	proc_SplashDamage	100	1																	0
The Grandfather0	100	0		1	1	70	70	7gd	Colossus Blade			5	5000	lyel	lyel		invgsdu				str		20	20	dex		20	20	vit		20	20	enr		20	20	att%		30	60	hp		50	100	dmg/lvl	20			indestruct		1	1	dmg%		100	250	splash	proc_SplashDamage	100	1									0
Wizardspike0	100	0		1	1	69	61	7dg	Bone Knife			5	5000	lgry	lgry						mana/lvl	16			regen-mana		15	15	mana%		15	15	res-all		75	75	indestruct		1	1	cast3		25	70	splash	proc_SplashDamage	100	1																					0
Constricting Ring	100	1		1	1	70	70	rin	Ring			5	5000	cblu	cblu						res-all		75	150	res-all-max		20	20	regen		-30	-30	hp%		-10	-10	mana%		-10	-10																													0
Stormspire0	100	0		1	1	70	70	7wc	Giant Thresher			5	5000	dblu	dblu						res-ltng		30	50	gethit-skill	53	5	5	dmg%		100	250	str		10	10	gethit-skill	38	5	10	swing2		15	35	indestruct		1	1	dmg-ltng		1	237	*enr		-10	-10	splash	proc_SplashDamage	100	1									0
Eaglehorn	100	1		1	1	70	69	6l7	Crusader Bow			5	5000	dgld	dgld						ignore-ac		1	1	att/lvl	12			dmg%/lvl	16			dmg%		100	250	ama		1	1	dex		25	25																									0
Windforce	100	1		1	1	70	70	6lw	Hydra Bow			5	5000	dyel	dyel						dex		5	5	dmg/lvl	25			vit		10	10	manasteal		6	8	knock		1	1	dmg%		100	250	swing2		10	25	str		10	10																	0
Rings																																																																					0
Bul Katho's Wedding Band	100	1		1	1	66	58	rin	Ring			5	5000	dpur	dpur						hp		50	90	allskills		1	2	lifesteal		5	10	vit		10	15																																	0
The Cat's Eye	100	1		1	1	58	50	amu	Amulet			5	5000	oran	oran						move2		15	40	swing2		10	25	ac		100	100	ac-miss		100	100	dex		25	25	oskill	145	1	2																									0
The Rising Sun	100	1		1	1	70	65	amu	Amulet			5	5000	lgld	lgld						abs-fire/lvl	8			light		9	9	gethit-skill	56	5	10	dmg-fire		24	48	fireskill		3	3	regen		10	20	allskills		1	2																					0
Crescent Moon	100	1		1	1	58	50	amu	Amulet			5	5000	lblu	lblu						manasteal		11	15	red-mag		10	10	dmg-to-mana		2	2	lifesteal		3	6	mana		45	45																													0
Mara's Kaleidoscope	100	1		1	1	70	67	amu	Amulet			5	5000	oran	oran						allskills		2	3	res-all		20	30	str		5	5	dex		5	5	vit		5	5	enr		5	10	mag%		40	80																					0
Atma's Scarab	100	1		1	1	60	60	amu	Amulet			5	5000	cgrn	cgrn		invuniamulet1				dmg-pois	100	102	102	res-pois		50	75	att%		10	25	allskills		1	2	hit-skill	66	15	15																													0
Dwarf Star	100	1		1	1	53	45	rin	Ring			5	5000	dgry	dgry						gold%		50	150	vit		10	20	hp		50	120	red-mag		15	30	abs-fire%		20	30																													0
Raven Frost	100	1		1	1	53	45	rin	Ring			5	5000	cblu	cblu						nofreeze		1	1	dmg-cold	100	15	45	abs-cold%		20	30	mana		80	99	dex		40	50	gethit-skill	Frost Nova	5	20																									0
Highlord's Wrath	100	1		1	1	70	65	amu	Amulet			5	5000	bwht	bwht						res-ltng		35	35	dmg-ltng		1	30	swing2		10	25	allskills		2	3	deadly/lvl	3			aura	Fanaticism	1	3																									0
Saracen's Chance	100	1		1	1	55	47	amu	Amulet			5	5000	dpur	dpur						res-all		15	25	gethit-skill	76	10	2	str		10	15	dex		10	15	enr		10	15	vit		5	20	allskills		1	2																					0
Class Specific																																																																					0
Arreat's Face	100	1		1	1	50	42	baa	Slayer Guard			5	5000								bar		1	2	skilltab	12	1	2	ac%		100	200	balance2		15	35	att%		10	25	str		10	25	dex		10	25	lifesteal		3	6	res-all		30	30													0
Homunculus	100	1		1	1	50	42	nea	Heirophant Trophy			5	5000								nec		1	2	skilltab	6	1	2	ac%		100	200	block2		15	35	block		20	50	enr		10	25	regen-mana		30	60	mana-kill		5	5	res-all		40	40	mana		60	80									0
Titan's Revenge	100	1		1	1	50	42	ama	Ceremonial Javelin			5	5000								ama		1	2	skilltab	2	1	2	dmg%		100	200	move2		15	35	rep-quant	63			str		10	25	dex		10	25	lifesteal		5	9	dmg-norm		25	50	stack		500	500	splash	proc_SplashDamage	100	1					0
Lycander's Aim	100	1		1	1	50	42	am7	Ceremonial Bow			5	5000								ama		1	2	skilltab	0	1	2	dmg%		100	200	swing2		15	35	ac%		10	25	dex		10	25	enr		10	25	manasteal		5	8	dmg-norm		25	50													0
Lycander's Flank	100	1		1	1	50	42	am9	Ceremonial Pike			5	5000								ama		1	2	skilltab	2	1	2	dmg%		100	200	swing2		15	35	ac%		10	25	str		10	25	vit		10	25	lifesteal		5	9	dmg-norm		25	50	red-dmg%		25	35	splash	proc_SplashDamage	100	1					0
The Oculus	100	1		1	1	50	42	oba	Swirling Crystal			5	5000								sor		1	3	gethit-skill	54	5	1	res-all		20	20	cast2		15	35	ac%		10	25	vit		10	25	enr		10	25	mana-kill		5	5	mag%		50	50	splash	proc_SplashDamage	100	1									0
Herald of Zakarum	100	1		1	1	50	42	pa9	Aerin Shield			5	5000								pal		1	2	skilltab	9	1	2	ac%		100	200	block2		15	35	block		15	35	str		10	25	vit		10	25	att%		20	20	res-all		50	50													0
Cutthroat1	100	1		1	1	50	42	9tw	Runic Talons			5	5000								ass		1	2	skilltab	20	1	1	dmg%		100	200	balance2		15	35	att%		10	25	str		10	25	dex		10	25	lifesteal		5	9	dmg-norm		25	50	splash	proc_SplashDamage	100	1									0
Jalal's Mane	100	1		1	1	50	42	dra	Dream Spirit			5	5000								dru		1	2	skilltab	16	1	2	ac%		100	200	balance2		15	35	att%		10	25	str		10	25	enr		10	25	mana-kill		5	5	res-all		30	30													0
The Scalper	100	1		1	1	65	57	9ta	Francisca			5	5000								rep-quant	30			dmg%		100	200	att%		25	25	swing2		15	25	openwounds		20	40	lifesteal		4	6	mana-kill		4	4	splash	proc_SplashDamage	100	1																	0
Bloodmoon	100	1		1	1	69	61	7sb	elegant blade			5	5000	cred	cred		invsbru				dmg%		150	250	lifesteal		10	15	oskill	BloodGolem	9	15	heal-kill		7	13	openwounds		25	60	oskill	Life Tap	1	20	splash	proc_SplashDamage	100	1																					0
Djinnslayer	100	1		1	1	70	65	7sm	ataghan			5	5000	dpur	dpur		invscmu				dmg%		150	240	dmg-fire		250	500	dmg-demon		100	150	att-demon		200	300	abs-ltng		3	7	manasteal		3	6	splash	proc_SplashDamage	100	1																					0
Deathbit	100	1		1	1	52	44	9tk	battle dart			5	5000								deadly		20	50	dmg%		100	200	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	25			splash	proc_SplashDamage	100	1																					0
Warshrike	100	1		1	1	70	70	7bk	winged knife			5	5000	bwht	bwht		invtk3				dmg%		150	250	pierce		50	50	swing2		30	30	deadly		50	50	rep-quant	30			hit-skill	Nova	25	9	splash	proc_SplashDamage	100	1																					0
Gutsiphon	100	1		1	1	70	70	6rx	demon crossbow			5	5000	lgrn	lgrn		invrxbu				dmg%		150	250	pierce		33	33	lifesteal		12	18	slow		25	25	openwounds		20	40	explosivearrow		1	1	oskill	Freezing Arrow	1	1																					0
Razoredge	100	1		1	1	70	67	7ha	tomahawk			5	5000	lblu			invhaxu				dmg%		150	250	swing2		40	40	reduce-ac		33	33	deadly		25	60	openwounds		25	60	splash	proc_SplashDamage	100	1																									0
Gore Ripper	100			1	1							5	5000	dred	dred																																																						0
Demonlimb	100	1		1	1	70	63	7sp	tyrant club			5	5000	dgrn	dgrn		invspcu				dmg%		150	250	dmg-fire		222	333	lifesteal		7	13	oskill	Enchant	1	20	rep-dur	5			dmg-demon		123	123	res-fire		15	20	splash	proc_SplashDamage	100	1																	0
Steelshade	100	1		1	1	70	62	ulm	armet			5	5000	blac	blac		invhlmu				ac%		100	200	abs-fire		5	11	manasteal		4	8	regen		10	20	gethit-skill	Cloak of Shadows	5	1																													0
Tomb Reaver	100	1		1	1	70	70	7pa	cryptic axe	1		5	5000	lyel	lyel						swing2		30	70	light		4	4	dmg%		100	250	dmg-undead		150	230	mag%		50	80	res-all		30	50	att-undead		250	350	reanimate	1	10	10	heal-kill		10	14	splash	proc_SplashDamage	100	1									0
Deaths's Web	100	1		1	1	70	66	7gw	unearthed wand			5	5000	bwht	bwht						allskills		1	2	pierce-pois		50	60	heal-kill		7	12	mana-kill		7	12	skilltab	7	1	3	mana		50	100	splash	proc_SplashDamage	100	1																					0
Nature's Peace	100	1		1	1	70	69	rin	ring			5	5000	dgrn	dgrn		invuniring2				noheal		1	1	rip		1	1	red-dmg		7	11	res-pois		20	30	oskill	Oak Sage	5	20																													0
Seraph's Hymn	100	1		1	1	70	65	amu	amulet			5	5000	bwht	bwht		invuniamulet2				allskills		1	2	skilltab	10	2	2	dmg-demon		25	50	dmg-undead		25	50	str		25	30	dex		10	25	light		2	2																					0
Zakarum's Salvation	100	1		1	1	70	70	utp	archon plate			5	5000	whit	whit		invfulu				aura	Salvation	5	5	ac%		100	300	ethereal		1	1	red-dmg		30	35	regen		25	30	hp/lvl	6			hit-skill	Corpse Explosion	10	1	hp%		30	30	indestruct		1	1	red-mag		30	35									0
Fleshripper	100	1		1	1	70	68	7kr	fanged knife			5	5000	dred	dred		invkrsu				dmg%		150	250	reduce-ac		50	50	noheal		1	1	crush		5	5	openwounds		25	6	deadly		20	40	slow		20	20	splash	proc_SplashDamage	100	1																	0
Odium	100			1								5	5000	blac																																																							0
Horizon's Tornado	100	1		1	1	70	64	7fl	scourge			5	5000	dpur	dpur						dmg%		150	250	swing2		30	60	slow		20	20	oskill	Tornado	5	20	ease		-20	-20	gethit-skill	Hurricane	15	15	splash	proc_SplashDamage	100	1																					0
Stone Crusher	100	1		1	1	70	68	7wh	legendary mallet			5	5000	whit							dmg%		150	250	str		20	30	crush		8	8	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30	splash	proc_SplashDamage	100	1																					0
Jadetalon	100	1		1	1	70	66	7wb	wrist sword			5	5000	cgrn	cgrn						dmg%		150	240	manasteal		10	15	res-all		40	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2	rep-dur	5			splash	proc_SplashDamage	100	1																	0
Shadowdancer	100	1		1	1	70	70	uhb	myrmidon greaves			5	5000	blac	blac						ac%		50	100	move2		30	30	balance2		30	30	dex		15	25	skilltab	19	1	2	ease		-20	-20																									0
Cerebus	100	1		1	1	70	63	drb	blood spirit			5	5000	bwht	bwht						ac%		150	140	skilltab	16	1	4	lifesteal		7	10	att%		50	125	openwounds		20	40	skill	feral rage	1	2																									0
Tyrael's Might0	100	0		1	1	70	70	uar	sacred armor	1		5	5000	dblu	dblu		invaaru				ease		-100	-100	indestruct		1	1	ac%		100	200	rip		1	1	dmg-demon		50	200	nofreeze		1	1	move2		10	50	res-all		10	40	str		10	50	allskills		1	5									0
Souldrain	100	1		1	1	70	70	umg	vambraces			5	5000	dred	dred						ac%		50	120	manasteal		4	7	lifesteal		4	7	hit-skill	Weaken	8	3	dmg-ac		-50	-50	slow		15	15																									0
Runemaster	100	1		1	1	70	70	72a	ettin axe			5	5000	lblu	lblu						dmg%		100	250	res-cold-max		5	10	nofreeze		1	1	splash	proc_SplashDamage	100	1																																	0
Deathcleaver	100	1		1	1	70	70	7wa	berserker axe			5	5000	dred							dmg%		100	250	deadly		30	65	reduce-ac		33	33	swing2		40	40	heal-kill		6	9	splash	proc_SplashDamage	100	1																									0
Executioner's Justice	100	1		1	1	70	70	7gi	glorious axe			5	5000	blac	blac						dmg%		100	250	crush		5	5	reduce-ac		33	33	gethit-skill	Decrepify	50	6	swing2		30	50	splash	proc_SplashDamage	100	1																									0
Stoneraven	100	1		1	1	70	64	amd	matriarchal spear			5	5000	dgry							dmg%		100	250	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	1	3	red-dmg%		30	40	pierce-ltng		25	35	splash	proc_SplashDamage	100	1																	0
Leviathan0	100	0		1	1	70	65	uld	kraken shell			5	5000	cgrn	cgrn						ac%		100	200	ac		100	150	red-dmg%		25	50	str		40	50	indestruct		1	1																													0
Larzuk's Champion	100			1								5	5000	lgry		flphmr	invhfh																																																				0
Wisp	100	1		1	1	70	70	rin	ring			5	5000	bwht	bwht						abs-ltng%		10	20	hit-skill	Lightning	10	20	mag%		10	20	oskill	Oak Sage	1	20	oskill	Heart of Wolverine	1	20	oskill	Spirit of Barbs	1	1	allskills		1	2																					0
Gargoyle's Bite	100	1		1	1	70	70	7ts	winged harpoon			5	5000	cgrn	cgrn						dmg%		100	230	rep-quant	30			dmg-pois	25	900	900	lifesteal		9	15	oskill	Plague Javelin	11	20	move2		15	30	pierce		100	100	splash	proc_SplashDamage	100	1																	0
Lacerator	100	1		1	1	70	68	7b8	winged axe			5	5000	blac	blac						dmg%		100	210	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		20	40	howl		16	32	hit-skill	Amplify Damage	33	3	splash	proc_SplashDamage	100	1																	0
Mang Song's Lesson	100	1		1	1	70	70	6ws	archon staff			5	5000	dgld	dgld		inv8wsu				allskills		5	8	pierce-fire		30	30	pierce-ltng		30	30	pierce-cold		30	30	regen-mana		50	100	cast2		30	85	ac		580	720	red-dmg%		30	40	splash	proc_SplashDamage	100	1													0
Viperfork	100	1		1	1	70	70	7br	war fork			5	5000	dgrn	dgrn						dmg%		100	240	dmg-pois	250	333	333	swing2		25	60	att		200	250	hit-skill	Poison Explosion	15	9	res-pois		30	50	splash	proc_SplashDamage	100	1																					0
Ethereal Edge	100	1		1	1	70	70	7ba	silver-edged axe			5	5000	whit	whit						dmg%		100	180	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1	splash	proc_SplashDamage	100	1													0
Demonhorn's Edge	100	1		1	1	69	61	bad	destroyer helm			5	5000	dgry	dgry						ac%		100	160	swing2		25	25	lifesteal		3	6	move2		15	30	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3																					0
The Reaper's Toll	100	1		1	1	70	70	7s8	thresher			5	5000				invscy				dmg%		100	240	hit-skill	Decrepify	33	1	ignore-ac		1	1	lifesteal		11	15	ease		-25	-25	deadly		20	40	dmg-cold		4	44	splash	proc_SplashDamage	100	1																	0
Spiritkeeper	100	1		1	1	70	67	drd	earth spirit			5	5000								ac%		100	190	balance2		10	25	abs-ltng		9	14	res-fire		30	40	abs-cold%		15	25	res-pois-max		10	10	dru		1	4																					0
Hellrack	100	1		1	1	70	70	6hx	colossus crossbow			5	5000	cred			invhxbu				dmg%		100	250	dmg-elem	33	63	324	swing2		40	60	att%		100	150	oskill	Immolation Arrow	15	20																													0
Alma Negra	100	1		1	1	70	70	pac	sacred rondache			5	5000	blac	blac						ac%		100	210	block2		15	35	pal		1	3	block		15	25	red-mag		5	9	att%		40	75	dmg%		40	75																					0
Darkforge Spawn	100	1		1	1	70	64	nef	bloodlord skull			5	5000	cred	cred						ac%		100	180	cast2		10	40	mana		120	150	skilltab	6	1	3	skilltab	7	3	3	skilltab	8	1	3	block		20	20	nec		1	1																	0
Widowmaker	100	1		1	1	70	65	6sw	ward bow			5	5000	dred	dred		invswbu				dmg%		100	250	deadly		25	70	ignore-ac		1	1	magicarrow		33	33	oskill	Guided Arrow	1	7	dmg/lvl	10																											0
Bloodraven's Charge	100	1		1	1	70	70	amb	matriarchal bow			5	5000	dgld	dgld		invswbu				dmg%		100	250	att%		100	300	explosivearrow		33	33	skilltab	0	4	5	ama		1	3																													0
Ghostflame	100	1		1	1	70	62	7bl	legend spike			5	5000	cblu	cblu						dmg%		100	240	ignore-ac		1	1	dmg-mag		108	108	manasteal		10	15	ethereal		1	1	indestruct		1	1	light		2	2	splash	proc_SplashDamage	100	1																	0
Shadowkiller	100	1		1	1	70	70	7cs	battle cestus			5	5000				invaxfu				dmg%		100	250	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	Frost Nova	33	8	ethereal		1	1	indestruct		1	1	splash	proc_SplashDamage	100	1																	0
Gimmershred	100	1		1	1	70	70	7ta	flying axe			5	5000	lgrn							dmg%		100	210	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	stack		60	60	swing2		15	35	splash	proc_SplashDamage	100	1																					0
Griffon's Eye	100	1		1	1	70	70	ci3	diadem			5	5000								ac		100	200	cast2		25	25	allskills		1	2	extra-ltng		15	15	pierce-ltng		20	20	rep-dur	1																											0
Windhammer	100	1		1	1	70	68	7m7	ogre maul			5	5000	cblu	cblu		invunimace1				dmg%		100	230	crush		10	10	swing2		30	70	hit-skill	Twister	35	20	splash	proc_SplashDamage	100	1																													0
Thunderstroke	100	1		1	1	70	69	amf	matriarchal javelin			5	5000	dblu	dblu						dmg%		100	200	dmg-ltng		1	511	hit-skill	Lightning	20	14	swing2		20	40	pierce-ltng		30	30	skill	Lightning Bolt	1	4	skilltab	2	1	4	rep-quant	63			stack		500	500	splash	proc_SplashDamage	100	1									0
Giantmaimer	100	1		1	1	70	70	7gm	thunder maul			5	5000	cred	cred						dmg%		100	250	swing2		30	150	ethereal		1	1	indestruct		1	1	allskills		1	4	hit-skill	Enchant	5	10	res-all		-30	-30	mana%		-10	-10	hp%		5	10	crush		4	8	splash	proc_SplashDamage	100	1					0
Demon's Arch	100	1		1	1	70	68	7s7	balrog spear			5	5000	cred	cred						dmg%		100	210	dmg-fire		232	323	lifesteal		6	12	rep-quant	30			swing2		15	35	dmg-ltng		23	333	str		10	25	bar		2	2	reanimate	360	1	1	splash	proc_SplashDamage	100	1									0
Boneflame	100	1		1	1	70	70	nee	succubae skull			3	5000	dred	dred						ac%		100	150	move2		10	25	skill	Lower Resist	3	3	nec		1	3	res-all		30	40	block		10	25	mana		100	200																					0
Steelpillar0	100	0		1	1	70	69	7p7	war pike			3	5000								dmg%		100	250	swing2		30	100	reduce-ac		20	20	ac%		50	80	indestruct		1	1	crush		5	5	splash	proc_SplashDamage	100	1																					0
Nightwing's Veil	100	1		1	1	70	67	uhm	spired helm			3	5000	cblu	cblu						ac%		90	120	allskills		1	2	dex		10	20	abs-cold		5	9	half-freeze		1	1	extra-cold		18	24	ease		-50	-80																					0
Crown of Ages0	100	0		1	1	70	70	urn	corona	1		3	5000	dgld	dgld						balance2		30	30	res-all		25	40	allskills		1	2	ac		100	150	indestruct		1	1	red-dmg%		20	25	ac%		50	50																					0
Andariel's Visage	100	1		1	1	70	70	usk	demonhead	1		3	5000	dred	dred						ac%		100	150	res-pois		50	70	allskills		1	2	res-pois-max		10	10	swing2		10	25	str		25	30	gethit-skill	92	5	20	oskill	278	3	20	lifesteal		8	10	res-fire		70	70	rep-dur	1							0
Darkfear	100			1	1			ulm	armet			5	5000	blac			invhlmu																																																				0
Dragonscale	100	1		1	1	70	70	pae	zakarum shield			3	5000	dgrn	dgrn						ac%		100	200	abs-fire%		15	30	res-fire-max		20	20	str		15	25	dmg-fire		211	371	oskill	Hydra	20	20	extra-fire		50	50	oskill	47	1	20	oskill	Fire Mastery	1	20													0
Steel Carapice	100	1		1	1	74	66	uul	shadow plate			3	5000	dgry	dgry						ac%		100	220	balance2		10	25	red-dmg		30	60	res-cold		40	60	regen-mana		10	15	rep-dur	1			aura	Cleansing	5	15																					0
Medusa's Gaze	100	1		1	1	70	70	uow	aegis			3	5000	lred	lred		invtowu				ac%		100	180	slow		20	20	gethit-skill	Lower Resist	10	7	lifesteal		5	9	death-skill	Nova	100	44	res-cold		40	80	block		25	25																					0
Ravenlore	100	1		1	1	70	70	dre	sky spirit			3	5000	dgld	dgld						ac%		100	150	res-all		15	25	skilltab	17	3	3	enr		20	30	pierce-fire		10	20	skill	Raven	1	10																									0
Boneshade	100	1		1	1	70	70	7bw	lich wand			3	5000	dgry	dgry		invbwnu				nec		1	2	cast2		20	40	skill	Teeth	4	5	skill	Bone Armor	4	5	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	skill	Bone Wall	2	3	splash	proc_SplashDamage	100	1																	0
Nethercrow	100	1		1	1	64	61	ulb	Wyrmhide Boots			3	5000	cblu	cblu						move2		20	40	ac		100	100	mana		90	90	mag%		25	25	str		15	15	hp/lvl	6			res-all		10	10																					0
Flamebellow	100	1		1	1	70	70	7gs	balrog blade			3	5000	cred	cred		invgisu				dmg%		100	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	Firestorm	12	16	str		10	20	vit		5	10	rep-dur	3			splash	proc_SplashDamage	100	1													0
Fathom	100	1		1	1	70	70	obf	dimensional shard			3	5000	lblu							sor		1	5	extra-cold		20	30	cast2		20	30	res-fire		30	40	res-ltng		35	40	splash	proc_SplashDamage	100	1																									0
Wolfhowl	100	1		1	1	70	70	bac	fury visor			3	5000	cred	cred						ac%		100	150	skilltab	14	1	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	1	8	oskill	Summon Fenris	15	18	oskill	Shape Shifting	1	9	oskill	Feral Rage	1	9	rep-dur	1											0
Spirit Ward	100	1		1	1	70	68	uts	ward			3	5000	dblu	dblu		invgtsu				ac%		100	180	abs-cold		6	11	res-all		30	40	block		20	30	block2		15	30	oskill	Fade	1	3	ease		-50	-50																					0
Kira's Guardian	100	1		1	1	70	70	ci2	tiara			3	5000	blac	blac						ac		50	120	res-all		20	75	nofreeze		1	1	balance2		10	25	allskills		1	1			4																										0
Ormus' Robes	100	1		1	1	60	70	cl11	Dark Templar's Robe			3	5000	blac	blac						ac		10	20	cast2		20	20	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	regen-mana		10	15	skill-rand	3	36	65	light		4	8	red-mag		20	20	red-dmg		20	20									0
Gheed's Fortune	100	1		1	1	70	1	cm3	charm		1	3	5000	lgld							mag%		15	50	gold%		15	50	cheap		5	50																																					0
Stormlash	100	1		1	1	70	70	7fl	scourge	1		3	5000	dgry	dgry						dmg%		100	250	swing2		10	40	hit-skill	Static Field	5	10	hit-skill	Tornado	10	18	dmg-ltng		1	473	rep-dur	2			crush		6	6	abs-ltng		3	9	splash	proc_SplashDamage	100	1													0
Halaberd's Reign	100	1		1	1	70	70	bae	conqueror crown			3	5000								ac%		100	240	skilltab	13	1	2	bar		1	2	balance2		10	25	regen		15	23	skill	Battle Orders	1	2	skill	Battle Command	1	1	skilltab	14	1	6																	0
Warriv's Warder	100			1	1							3	5000																																																								0
Spike Thorn	100	1		1	1	70	70	upk	blade barrier			5	5000	dyel	dyel		invspku				ac%		100	150	red-dmg%		15	20	gethit-skill	Iron Maiden	5	20	balance2		15	35																																	0
Dracul's Grasp	100	1		1	1	70	70	uvg	vampirebone gloves			5	5000	dred	dred						ac%		90	120	lifesteal		7	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		5	10	str		10	15																									0
Frostwind	100	1		1	1	70	70	7ls	cryptic sword			5	5000	cblu	cblu		invlsdu				dmg%		100	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing2		15	25	abs-cold%		7	15	skill	Hurricane	1	15	splash	proc_SplashDamage	100	1																	0
Templar's Might	100	1		1	1	70	70	uar	sacred armor			5	5000	cgrn	cgrn		invaaru				ac%		100	220	balance2		10	25	ac-miss		250	300	vit		45	60	str		40	50	skilltab	10	1	5	move2		15	35	rep-dur	1																			0
Eschuta's temper	100	1		1	1	70	70	obc	eldritch orb			5	5000	cred							sor		1	3	cast2		20	50	extra-fire		15	20	extra-ltng		15	20	enr		20	30	splash	proc_SplashDamage	100	1																									0
Firelizard's Talons	100	1		1	1	70	67	7lw	feral claws			5	5000								dmg%		100	250	swing2		25	65	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	4	skill	Inferno Sentry	1	5	ass		1	4	ease		-60	-70	splash	proc_SplashDamage	100	1									0
Sandstorm Trek	100	1		1	1	70	64	uvb	scarabshell boots			5	5000								ac%		100	170	move2		10	25	balance2		10	25	hp/lvl	2			vit		20	25	res-pois		40	70	rep-dur	1			str		10	15																	0
Marrowwalk	100	1		1	1	70	66	umb	boneweave boots			5	5000	dgry							ac%		100	200	move2		20	50	oskill	Bone Prison	13	20	oskill	Life Tap	10	12	vit		5	10	regen-mana		10	10	half-freeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	3	3									0
Heaven's Light	100	1		1	1	69	61	7sc	mighty scepter			5	5000	cblu	cblu						dmg%		100	250	swing2		10	25	reduce-ac		33	33	light		3	3	demon-heal		15	20	crush		6	6	splash	proc_SplashDamage	100	1	pal		1	4																	0
Merman's Speed	100				1																																																																0
